Date,Bank of America Corp,Boeing Co/The,Simon Property Group LP,Citigroup Inc,JPMorgan Chase & Co,International Business Machines Corp,Motorola Solutions Inc,Caterpillar Inc,Nestle SA (EUR),McDonald's Corp
20080528,9.333000000000458,13.83299999999996,25.00100000000016,8.833000000000174,15.000000000000018,17.8549999999998,29.37300000000038,16.832999999999974,21.5,15.249999999999895
20080529,9.000000000000135,14.481038754382476,23.913000000000505,28.576556765834376,14.85000000000052,17.29930306054095,29.17000000000023,16.248000000000356,20.254,14.597446481010763
20080530,9.25000000000019,12.833000000000306,23.91299999999983,8.499999999999961,14.950000000000571,18.12500000000061,29.1660000000001,16.250000000000266,20.429,14.950000000000571
20080602,9.833000000000487,14.5617952650341,24.207999999999977,29.81839600575234,15.1250000000001,17.096050870306687,28.998000000000253,16.500000000000163,21.594,15.011980821403608
20080603,11.000000000000359,13.125000000000234,24.207999999999977,9.500000000000036,15.300000000000312,17.917000000000485,29.245000000000278,16.503000000000164,21.561,15.00800000000025
20080604,10.167000000000286,13.667000000000012,24.21000000000009,9.125000000000515,15.249999999999893,17.75000000000011,28.898000000000447,16.510000000000122,21.825,14.60000000000051
20080605,9.875000000000528,13.3750000000003,23.860000000000163,8.875000000000403,15.187999999999851,18.000000000000536,28.080999999999978,17.38300000000011,20.896,15.010000000000352
20080606,10.167000000000288,13.5000000000002,23.96799999999978,8.875000000000405,15.125000000000098,17.50000000000003,27.773000000000234,16.634999999999778,21.028,15.192999999999964
20080609,9.875000000000528,13.375000000000298,23.56200000000025,9.000000000000137,15.313000000000482,18.000000000000536,27.96500000000036,17.384999999999895,21.29,15.693000000000291
20080610,9.500000000000034,13.3750000000003,23.3949999999999,8.875000000000407,15.000000000000016,17.583000000000283,28.21899999999997,17.635000000000307,22.061,15.941000000000061
20080611,9.750000000000098,13.333000000000261,23.477000000000125,8.79999999999996,15.149999999999956,17.813000000000194,27.932000000000283,16.9800000000006,21.691,15.678000000000004
20080612,10.167000000000288,13.500000000000195,23.090000000000416,8.667000000000057,15.125000000000098,16.974999999999852,28.399999999999757,16.185,21.427,15.760000000000545
20080613,10.833000000000064,13.000000000000068,22.72699999999987,8.750000000000256,15.249999999999895,16.982999999999763,27.818000000000097,18.18500000000055,21.962,15.819999999999927
20080616,10.167000000000288,13.000000000000068,23.090000000000416,8.50000000000063,14.500000000000181,16.986999999999984,27.94499999999999,17.440000000000385,21.632,15.093000000000387
20080617,9.833000000000034,18.049999999999,23.090000000000416,18.916256013780387,14.500000000000181,15.738145390704318,27.314999999999944,17.44000000000038,20.762,13.84809988116979
20080618,61.306,45.158,87.814,95.444,65.153,38.363,192.663,29.502,22.4,19.953
20080619,63.427,46.767,88.814,98.498,67.485,38.833,193.97,29.832,22.701,20.019
20080620,65.181,48.037,90.714,102.785,69.904,39.696,211.774,30.822,23.635,20.95
